wave,gender,name,value,id
1,Man,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.4682675814751285,Legitimiteit van Politiek
1,Man,Het sluiten van compromissen is het verraden van je principes,6.085763293310463,Legitimiteit van Politiek
1,Man,Een sterke regeringsleider is goed voor Nederland,6.809605488850772,Legitimiteit van Politiek
1,Man,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.102915951972555,Legitimiteit van Politiek
1,Man,Rechtspraak,6.181818181818182,Vertrouwen in Instituties
1,Man,Journalistiek,5.246998284734134,Vertrouwen in Instituties
1,Man,Regering,5.284734133790738,Vertrouwen in Instituties
1,Man,Tweede Kamer,5.44253859348199,Vertrouwen in Instituties
1,Man,Europese Unie,5.049742710120069,Vertrouwen in Instituties
1,Man,Politieke Partijen,4.885077186963979,Vertrouwen in Instituties
1,Man,Politici,4.789022298456261,Vertrouwen in Instituties
1,Man,Nederlandse Democratie,5.866209262435677,Vertrouwen in Instituties
1,Man,Wetenschap,6.886792452830188,Vertrouwen in Instituties
1,Man,Grote Bedrijven,4.4459691252144085,Vertrouwen in Instituties
1,Man,Banken,4.667238421955403,Vertrouwen in Instituties
1,Vrouw,Politici maken zich niet druk om mensen zoals ik,6.515625,Legitimiteit van Politiek
1,Vrouw,Politici zijn alleen maar geïnteresseerd in mijn stem,6.778125,Legitimiteit van Politiek
1,Vrouw,Politici beloven meer dan ze kunnen waarmaken,7.7,Legitimiteit van Politiek
1,Vrouw,Kamerlid word je door je politieke vrienden,6.54375,Legitimiteit van Politiek
1,Vrouw,De meeste politici zijn bekwame mensen die weten wat ze doen,6.0375,Legitimiteit van Politiek
1,Vrouw,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.66875,Legitimiteit van Politiek
1,Vrouw,Het sluiten van compromissen is het verraden van je principes,6.14375,Legitimiteit van Politiek
1,Vrouw,Een sterke regeringsleider is goed voor Nederland,6.796875,Legitimiteit van Politiek
1,Vrouw,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.059375,Legitimiteit van Politiek
1,Vrouw,Rechtspraak,6.228125,Vertrouwen in Instituties
1,Vrouw,Journalistiek,5.7671875,Vertrouwen in Instituties
1,Vrouw,Regering,5.30625,Vertrouwen in Instituties
1,Vrouw,Tweede Kamer,5.55,Vertrouwen in Instituties
1,Vrouw,Europese Unie,4.80625,Vertrouwen in Instituties
1,Vrouw,Politieke Partijen,4.8765625,Vertrouwen in Instituties
1,Vrouw,Politici,4.759375,Vertrouwen in Instituties
1,Vrouw,Nederlandse Democratie,6.2125,Vertrouwen in Instituties
1,Vrouw,Wetenschap,7.1234375,Vertrouwen in Instituties
1,Vrouw,Grote Bedrijven,4.571875,Vertrouwen in Instituties
1,Vrouw,Banken,4.378125,Vertrouwen in Instituties
