"","publisher","date","type","XY","wqual","qual","freq"
"56","Algemeen Dagblad","12-3-2021","IP","party_coronabestrijding",-1,-0.2,5
"57","Algemeen Dagblad","12-3-2021","IP","party_klimaatMilieu",0,0,5
"58","Algemeen Dagblad","12-3-2021","IP","party_woning",2,0.2,10
"59","Algemeen Dagblad","12-3-2021","MP","media_CDA",-1,-1,1
"60","Algemeen Dagblad","12-3-2021","REA","?realityUD?_campagne",0,0,1
"61","Algemeen Dagblad","12-3-2021","REA","?realityUD?_coronabestrijding",2,1,2
"62","Algemeen Dagblad","12-3-2021","REA","?realityUD?_klimaatMilieu",1,0.5,2
"63","Algemeen Dagblad","12-3-2021","REA","?realityUD?_woning",-1,-1,1
"64","Algemeen Dagblad","12-3-2021","SF","?realitySF?_FvD",0,0,1
"65","Algemeen Dagblad","12-3-2021","SF","?realitySF?_PvdD",1,1,1
"66","Algemeen Dagblad","13-2-2021","IP","party_OenW",2,1,2
"67","Algemeen Dagblad","13-2-2021","IP","party_SocZek",2,1,2
"68","Algemeen Dagblad","13-2-2021","IP","party_bestVernieuw",2,1,2
"69","Algemeen Dagblad","13-2-2021","REA","?realityUD?_OenW",-2,-1,2
"70","Algemeen Dagblad","13-2-2021","REA","?realityUD?_SocZek",1,0.333333333333333,3
"71","Algemeen Dagblad","13-2-2021","REA","?realityUD?_coronabestrijding",0,0,2
"72","Algemeen Dagblad","13-2-2021","REA","?realityUD?_geZorg",-3,-1,3
"73","Algemeen Dagblad","13-2-2021","REA","?realityUD?_klimaatMilieu",-2,-1,2
"74","Algemeen Dagblad","13-2-2021","REA","?realityUD?_ondernemingsklimaat",-1,-1,1
"75","Algemeen Dagblad","13-2-2021","REA","?realityUD?_werk",-2,-1,2
"76","Algemeen Dagblad","13-2-2021","SF","?realitySF?_CDA",0,0,2
"77","Algemeen Dagblad","13-2-2021","SF","?realitySF?_GroenLinks",0,0,0.5
"78","Algemeen Dagblad","13-2-2021","SF","?realitySF?_PvdA",-2,-0.5,2.5
"79","Algemeen Dagblad","13-2-2021","SF","?realitySF?_PvdD",0,0,0.5
"80","Algemeen Dagblad","13-2-2021","SF","?realitySF?_SP",0,0,0.5
"81","Algemeen Dagblad","13-2-2021","SF","?realitySF?_VVD",0,0,2
"82","Algemeen Dagblad","13-3-2021","IP","party_coronabestrijding",-2,-1,2
"83","Algemeen Dagblad","13-3-2021","IP","party_coronaverspreiding",-1,-1,1
"84","Algemeen Dagblad","13-3-2021","IP","party_klimaatMilieu",-2,-1,2
"85","Algemeen Dagblad","13-3-2021","IP","party_ondernemingsklimaat",1,1,1
"86","Algemeen Dagblad","13-3-2021","MP","media_CDA",1,1,1
"87","Algemeen Dagblad","13-3-2021","MP","media_CU",1,1,1
"88","Algemeen Dagblad","13-3-2021","MP","media_FvD",0,0,6
"89","Algemeen Dagblad","13-3-2021","MP","media_PvdA",1,1,1
"90","Algemeen Dagblad","13-3-2021","MP","media_SP",1,1,1
"91","Algemeen Dagblad","13-3-2021","MP","media_VVD",1,0.5,2
"92","Algemeen Dagblad","13-3-2021","REA","?realityUD?_SocZek",-1,-0.333333333333333,3
"93","Algemeen Dagblad","13-3-2021","REA","?realityUD?_campagne",1,0.5,2
"94","Algemeen Dagblad","13-3-2021","REA","?realityUD?_coronabestrijding",-2,-1,2
"95","Algemeen Dagblad","13-3-2021","REA","?realityUD?_coronaverspreiding",-2,-1,2
"96","Algemeen Dagblad","13-3-2021","REA","?realityUD?_geZorg",-2,-1,2
"97","Algemeen Dagblad","13-3-2021","REA","?realityUD?_klimaatMilieu",-2,-0.5,4
"98","Algemeen Dagblad","13-3-2021","REA","?realityUD?_werk",-1,-1,1
"99","Algemeen Dagblad","13-3-2021","REA","?realityUD?_woning",-3,-1,3
"100","Algemeen Dagblad","13-3-2021","SF","?realitySF?_FvD",-1,-1,1
"101","Algemeen Dagblad","13-3-2021","SF","?realitySF?_PVV",-1,-1,1
"102","Algemeen Dagblad","13-3-2021","SF","?realitySF?_VVD",2,0.5,4
"103","Algemeen Dagblad","13-3-2021","SP","society_CDA",2,1,2
"104","Algemeen Dagblad","13-3-2021","SP","society_D66",1,1,1
"105","Algemeen Dagblad","13-3-2021","SP","society_FvD",0.25,1,0.25
"106","Algemeen Dagblad","13-3-2021","SP","society_GroenLinks",0.25,1,0.25
"107","Algemeen Dagblad","13-3-2021","SP","society_JA21",0.25,1,0.25
"108","Algemeen Dagblad","13-3-2021","SP","society_PVV",0.25,1,0.25
"109","Algemeen Dagblad","13-3-2021","SP","society_PvdA",0.25,1,0.25
"110","Algemeen Dagblad","13-3-2021","SP","society_PvdD",0.25,1,0.25
"111","Algemeen Dagblad","13-3-2021","SP","society_SP",0.25,1,0.25
"112","Algemeen Dagblad","13-3-2021","SP","society_VVD",1.25,0.5,3.25
"113","Algemeen Dagblad","15-2-2021","MP","media_PVV",-2,-1,2
"114","Algemeen Dagblad","15-2-2021","REA","?realityUD?_campagne",-2,-1,2
"115","Algemeen Dagblad","15-2-2021","REA","?realityUD?_coronabestrijding",2,1,2
"116","Algemeen Dagblad","15-2-2021","REA","?realityUD?_ontwikkelingCrim",2,1,2
"117","Algemeen Dagblad","15-2-2021","SF","?realitySF?_GroenLinks",0,0,2
"118","Algemeen Dagblad","15-2-2021","SF","?realitySF?_PVV",-2,-0.5,4
"119","Algemeen Dagblad","15-2-2021","SF","?realitySF?_PvdA",-2,-0.5,4
"120","Algemeen Dagblad","15-2-2021","SF","?realitySF?_SP",0,0,2
"121","Algemeen Dagblad","15-3-2021","MP","media_D66",0,0,1
"122","Algemeen Dagblad","15-3-2021","MP","media_PvdA",0,0,1
"123","Algemeen Dagblad","15-3-2021","REA","?realityUD?_campagne",0,0,1
"124","Algemeen Dagblad","15-3-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"125","Algemeen Dagblad","16-2-2021","IP","party_SocZek",2,1,2
"126","Algemeen Dagblad","16-2-2021","IP","party_woning",2,1,2
"127","Algemeen Dagblad","16-2-2021","REA","?realityUD?_OenW",0,0,2
"128","Algemeen Dagblad","16-2-2021","REA","?realityUD?_belastHeffing",2,1,2
"129","Algemeen Dagblad","16-2-2021","REA","?realityUD?_infrastructuur",2,1,2
"130","Algemeen Dagblad","16-2-2021","REA","?realityUD?_integratie",-2,-1,2
"131","Algemeen Dagblad","16-2-2021","REA","?realityUD?_woning",-2,-1,2
"132","Algemeen Dagblad","16-2-2021","SF","?realitySF?_PvdA",0,0,2
"133","Algemeen Dagblad","16-2-2021","SF","?realitySF?_SP",0,0,2
"134","Algemeen Dagblad","16-2-2021","SF","?realitySF?_VVD",2,1,2
"135","Algemeen Dagblad","16-3-2021","IP","party_EuropeseUnie",1,1,1
"136","Algemeen Dagblad","16-3-2021","IP","party_geZorg",-1,-1,1
"137","Algemeen Dagblad","16-3-2021","IP","party_integratie",-1,-1,1
"138","Algemeen Dagblad","16-3-2021","IP","party_issue",-4,-1,4
"139","Algemeen Dagblad","16-3-2021","IP","party_vrijheidsrechten",-1,-1,1
"140","Algemeen Dagblad","16-3-2021","MP","media_SGP",-1,-1,1
"141","Algemeen Dagblad","16-3-2021","REA","?realityUD?_campagne",-2,-1,2
"142","Algemeen Dagblad","16-3-2021","SF","?realitySF?_SGP",1,1,1
"143","Algemeen Dagblad","16-3-2021","SF","?realitySF?_VVD",-1,-1,1
"144","Algemeen Dagblad","16-3-2021","SP","society_VVD",2,1,2
"145","Algemeen Dagblad","17-2-2021","CP","politics_PVV",-1,-1,1
"146","Algemeen Dagblad","17-2-2021","IP","party_klimaatMilieu",-2,-1,2
"147","Algemeen Dagblad","17-2-2021","IP","party_ontwikHulp",2,1,2
"148","Algemeen Dagblad","17-2-2021","IP","party_woning",2,1,2
"149","Algemeen Dagblad","17-2-2021","REA","?realityUD?_coronabestrijding",-6,-1,6
"150","Algemeen Dagblad","17-2-2021","SF","?realitySF?_PvdA",2,1,2
"151","Algemeen Dagblad","17-2-2021","SF","?realitySF?_VVD",-2,-1,2
"152","Algemeen Dagblad","17-2-2021","SP","society_PVV",-1,-1,1
"153","Algemeen Dagblad","18-2-2021","CP","politics_SP",1,1,1
"154","Algemeen Dagblad","18-2-2021","IP","party_OenW",4,1,4
"155","Algemeen Dagblad","18-2-2021","IP","party_campagne",3,1,3
"156","Algemeen Dagblad","18-2-2021","REA","?realityUD?_OenW",-1,-1,1
"157","Algemeen Dagblad","18-2-2021","REA","?realityUD?_SocZek",1,1,1
"158","Algemeen Dagblad","18-2-2021","REA","?realityUD?_coronabestrijding",1,1,1
"159","Algemeen Dagblad","18-2-2021","REA","?realityUD?_woning",1,1,1
"160","Algemeen Dagblad","19-2-2021","IP","party_EuropeseUnie",0,0,1
"161","Algemeen Dagblad","19-2-2021","IP","party_klimaatMilieu",-1,-0.111111111111111,3
"162","Algemeen Dagblad","19-2-2021","IP","party_woning",0,0,1
"163","Algemeen Dagblad","19-2-2021","REA","?realityUD?_coronabestrijding",1,1,1
"164","Algemeen Dagblad","19-2-2021","REA","?realityUD?_klimaatMilieu",1,1,1
"165","Algemeen Dagblad","19-2-2021","SF","?realitySF?_FvD",0,0,2
"166","Algemeen Dagblad","19-2-2021","SF","?realitySF?_SP",0,0,1
"167","Algemeen Dagblad","2-2-2021","IP","party_ontwikkelingCrim",-1,-1,1
"168","Algemeen Dagblad","2-2-2021","REA","?realityUD?_SocZek",1,1,1
"169","Algemeen Dagblad","2-2-2021","REA","?realityUD?_bestrijdingCrim",-1,-1,1
"170","Algemeen Dagblad","2-2-2021","REA","?realityUD?_coronabestrijding",-2,-0.5,4
"171","Algemeen Dagblad","2-2-2021","REA","?realityUD?_geZorg",0,0,1
"172","Algemeen Dagblad","2-2-2021","SF","?realitySF?_VVD",0,0,1
"173","Algemeen Dagblad","2-3-2021","IP","party_OenW",0,0,6
"174","Algemeen Dagblad","2-3-2021","IP","party_SocZek",6,1,6
"175","Algemeen Dagblad","2-3-2021","IP","party_ondernemingsklimaat",-3,-1,3
"176","Algemeen Dagblad","2-3-2021","REA","?realityUD?_SocZek",2,1,2
"177","Algemeen Dagblad","2-3-2021","REA","?realityUD?_woning",-1,-1,1
"178","Algemeen Dagblad","2-3-2021","SF","?realitySF?_CDA",0,0,3
"179","Algemeen Dagblad","2-3-2021","SF","?realitySF?_CU",0,0,2
"180","Algemeen Dagblad","2-3-2021","SF","?realitySF?_D66",0,0,2
"181","Algemeen Dagblad","2-3-2021","SF","?realitySF?_FvD",0,0,1
"182","Algemeen Dagblad","2-3-2021","SF","?realitySF?_GroenLinks",0,0,4
"183","Algemeen Dagblad","2-3-2021","SF","?realitySF?_JA21",0,0,1
"184","Algemeen Dagblad","2-3-2021","SF","?realitySF?_PVV",-1,-1,1
"185","Algemeen Dagblad","2-3-2021","SF","?realitySF?_PvdA",0,0,2
"186","Algemeen Dagblad","2-3-2021","SF","?realitySF?_PvdD",0,0,1
"187","Algemeen Dagblad","2-3-2021","SF","?realitySF?_SGP",0,0,1
"188","Algemeen Dagblad","2-3-2021","SF","?realitySF?_SP",0,0,2
"189","Algemeen Dagblad","2-3-2021","SF","?realitySF?_VOLT",0,0,1
"190","Algemeen Dagblad","2-3-2021","SF","?realitySF?_VVD",0,0,2
"191","Algemeen Dagblad","20-2-2021","IP","party_OenW",1,1,1
"192","Algemeen Dagblad","20-2-2021","IP","party_belastHeffing",1,1,1
"193","Algemeen Dagblad","20-2-2021","IP","party_vrijheidsrechten",2,1,2
"194","Algemeen Dagblad","20-2-2021","MP","media_CDA",-3,-1,3
"195","Algemeen Dagblad","20-2-2021","REA","?realityUD?_OenW",1,0.333333333333333,3
"196","Algemeen Dagblad","20-2-2021","REA","?realityUD?_belastHeffing",-1,-1,1
"197","Algemeen Dagblad","20-2-2021","REA","?realityUD?_campagne",-1,-1,1
"198","Algemeen Dagblad","20-2-2021","REA","?realityUD?_coronabestrijding",0,0,3
"199","Algemeen Dagblad","20-2-2021","REA","?realityUD?_klimaatMilieu",1,1,1
"200","Algemeen Dagblad","20-2-2021","REA","?realityUD?_ondernemingsklimaat",1,1,1
"201","Algemeen Dagblad","20-2-2021","REA","?realityUD?_woning",1,1,1
"202","Algemeen Dagblad","20-2-2021","SF","?realitySF?_GroenLinks",0,0,3
"203","Algemeen Dagblad","20-2-2021","SF","?realitySF?_PVV",1,1,1
"204","Algemeen Dagblad","20-2-2021","SF","?realitySF?_VVD",0,0,1
"205","Algemeen Dagblad","20-2-2021","SP","society_CDA",-1,-1,1
"206","Algemeen Dagblad","20-2-2021","SP","society_PVV",-1,-1,1
"207","Algemeen Dagblad","22-2-2021","IP","party_ondernemingsklimaat",0,0,2
"208","Algemeen Dagblad","22-2-2021","REA","?realityUD?_coronaverspreiding",-2,-0.333333333333333,6
"209","Algemeen Dagblad","22-2-2021","REA","?realityUD?_klimaatMilieu",0,0,2
"210","Algemeen Dagblad","22-2-2021","REA","?realityUD?_ondernemingsklimaat",-2,-1,2
"211","Algemeen Dagblad","22-2-2021","SF","?realitySF?_FvD",-2,-1,2
"212","Algemeen Dagblad","22-2-2021","SF","?realitySF?_GroenLinks",0,0,2
"213","Algemeen Dagblad","22-2-2021","SF","?realitySF?_PvdA",0,0,2
"214","Algemeen Dagblad","22-2-2021","SF","?realitySF?_PvdD",0,0,2
"215","Algemeen Dagblad","22-2-2021","SF","?realitySF?_SGP",0,0,2
"216","Algemeen Dagblad","22-2-2021","SF","?realitySF?_SP",0,0,2
"217","Algemeen Dagblad","22-2-2021","SF","?realitySF?_VVD",0,0,2
"218","Algemeen Dagblad","23-2-2021","IP","party_EuropeseUnie",0,0,8
"219","Algemeen Dagblad","23-2-2021","IP","party_SocZek",8,1,8
"220","Algemeen Dagblad","23-2-2021","IP","party_vrijheidsrechten",2,1,2
"221","Algemeen Dagblad","23-2-2021","MP","media_VVD",-2,-1,2
"222","Algemeen Dagblad","23-2-2021","REA","?realityUD?_SocZek",-3,-1,3
"223","Algemeen Dagblad","23-2-2021","REA","?realityUD?_coronaverspreiding",-2,-1,2
"224","Algemeen Dagblad","23-2-2021","REA","?realityUD?_ondernemingsklimaat",2,1,2
"225","Algemeen Dagblad","23-2-2021","SF","?realitySF?_CDA",0,0,2
"226","Algemeen Dagblad","23-2-2021","SF","?realitySF?_D66",0,0,2
"227","Algemeen Dagblad","23-2-2021","SF","?realitySF?_FvD",-2,-0.5,4
"228","Algemeen Dagblad","23-2-2021","SF","?realitySF?_GroenLinks",0,0,4
"229","Algemeen Dagblad","23-2-2021","SF","?realitySF?_PvdA",0,0,2
"230","Algemeen Dagblad","23-2-2021","SF","?realitySF?_SGP",0,0,2
"231","Algemeen Dagblad","23-2-2021","SF","?realitySF?_SP",-2,-0.333333333333333,6
"232","Algemeen Dagblad","23-2-2021","SF","?realitySF?_VVD",2,0.5,4
"233","Algemeen Dagblad","24-2-2021","IP","party_coronabestrijding",2,1,2
"234","Algemeen Dagblad","24-2-2021","IP","party_infrastructuur",-1,-1,1
"235","Algemeen Dagblad","24-2-2021","IP","party_ondernemingsklimaat",0,0,1
"236","Algemeen Dagblad","24-2-2021","REA","?realityUD?_OenW",1,1,1
"237","Algemeen Dagblad","24-2-2021","REA","?realityUD?_coronabestrijding",-2,-0.666666666666667,3
"238","Algemeen Dagblad","24-2-2021","REA","?realityUD?_coronaverspreiding",2,1,2
"239","Algemeen Dagblad","24-2-2021","REA","?realityUD?_woning",-1,-1,1
"240","Algemeen Dagblad","24-2-2021","SF","?realitySF?_CDA",0,0,1
"241","Algemeen Dagblad","24-2-2021","SF","?realitySF?_D66",0,0,1
"242","Algemeen Dagblad","24-2-2021","SF","?realitySF?_PVV",0,0,1
"243","Algemeen Dagblad","24-2-2021","SF","?realitySF?_PvdD",0,0,1
"244","Algemeen Dagblad","24-2-2021","SF","?realitySF?_SGP",0,0,1
"245","Algemeen Dagblad","24-2-2021","SF","?realitySF?_VVD",0,0,4
"246","Algemeen Dagblad","25-2-2021","IP","party_vrijheidsrechten",1,1,1
"247","Algemeen Dagblad","25-2-2021","MP","media_CDA",-1,-1,1
"248","Algemeen Dagblad","25-2-2021","MP","media_PvdA",-1,-1,1
"249","Algemeen Dagblad","25-2-2021","REA","?realityUD?_OenW",0,0,2
"250","Algemeen Dagblad","25-2-2021","REA","?realityUD?_campagne",0,0,3
"251","Algemeen Dagblad","25-2-2021","REA","?realityUD?_coronabestrijding",-1,-0.333333333333333,3
"252","Algemeen Dagblad","25-2-2021","REA","?realityUD?_klimaatMilieu",0,0,2
"253","Algemeen Dagblad","25-2-2021","REA","?realityUD?_ondernemingsklimaat",-1,-1,1
"254","Algemeen Dagblad","25-2-2021","SF","?realitySF?_CDA",-2,-1,2
"255","Algemeen Dagblad","25-2-2021","SF","?realitySF?_D66",-1,-0.333333333333333,3
"256","Algemeen Dagblad","25-2-2021","SF","?realitySF?_FvD",0,0,2
"257","Algemeen Dagblad","25-2-2021","SF","?realitySF?_PvdA",-2,-1,2
"258","Algemeen Dagblad","25-2-2021","SF","?realitySF?_VVD",0,0,1
"259","Algemeen Dagblad","25-2-2021","SP","society_PvdA",-2,-1,2
"260","Algemeen Dagblad","26-2-2021","CP","politics_PVV",-1,-1,1
"261","Algemeen Dagblad","26-2-2021","CP","politics_SP",1,1,1
"262","Algemeen Dagblad","26-2-2021","MP","media_VVD",1,1,1
"263","Algemeen Dagblad","26-2-2021","SF","?realitySF?_PvdD",0,0,1
"264","Algemeen Dagblad","27-2-2021","IP","party_begrotingssaldo",-3,-1,3
"265","Algemeen Dagblad","27-2-2021","IP","party_normenWaarden",2,1,2
"266","Algemeen Dagblad","27-2-2021","IP","party_ondernemingsklimaat",3,1,3
"267","Algemeen Dagblad","27-2-2021","REA","?realityUD?_coronaverspreiding",1,1,1
"268","Algemeen Dagblad","27-2-2021","REA","?realityUD?_ondernemingsklimaat",2,1,2
"269","Algemeen Dagblad","27-2-2021","SF","?realitySF?_CDA",1,1,1
"270","Algemeen Dagblad","27-2-2021","SF","?realitySF?_FvD",-2.25,-1,2.25
"271","Algemeen Dagblad","27-2-2021","SF","?realitySF?_JA21",-0.25,-1,0.25
"272","Algemeen Dagblad","27-2-2021","SF","?realitySF?_PVV",0.75,0,1.25
"273","Algemeen Dagblad","27-2-2021","SF","?realitySF?_VVD",0.75,0,5.25
"274","Algemeen Dagblad","27-2-2021","SP","society_CDA",1,1,1
"275","Algemeen Dagblad","27-2-2021","SP","society_VVD",2,1,2
"276","Algemeen Dagblad","3-2-2021","CP","politics_CDA",-1,-1,1
"277","Algemeen Dagblad","3-2-2021","IP","party_bestrijdingCrim",0,0,1
"278","Algemeen Dagblad","3-2-2021","IP","party_campagne",1,1,1
"279","Algemeen Dagblad","3-2-2021","IP","party_coronabestrijding",-1,-1,1
"280","Algemeen Dagblad","3-2-2021","MP","media_CDA",-1,-1,1
"281","Algemeen Dagblad","3-2-2021","MP","media_VVD",-1,-1,1
"282","Algemeen Dagblad","3-2-2021","REA","?realityUD?_OenW",-1,-1,1
"283","Algemeen Dagblad","3-2-2021","REA","?realityUD?_coronabestrijding",1,1,1
"284","Algemeen Dagblad","3-2-2021","REA","?realityUD?_coronaverspreiding",3,1,3
"285","Algemeen Dagblad","3-2-2021","REA","?realityUD?_geZorg",-1,-1,1
"286","Algemeen Dagblad","3-2-2021","REA","?realityUD?_ondernemingsklimaat",-1,-1,1
"287","Algemeen Dagblad","3-2-2021","SF","?realitySF?_CDA",0,0,1
"288","Algemeen Dagblad","3-3-2021","IP","party_vrijheidsrechten",-1,-1,1
"289","Algemeen Dagblad","3-3-2021","MP","media_VVD",0,0,2
"290","Algemeen Dagblad","3-3-2021","REA","?realityUD?_SocZek",-2,-1,2
"291","Algemeen Dagblad","3-3-2021","REA","?realityUD?_begrotingssaldo",-1,-1,1
"292","Algemeen Dagblad","3-3-2021","REA","?realityUD?_klimaatMilieu",-1,-1,1
"293","Algemeen Dagblad","3-3-2021","SF","?realitySF?_D66",0,0,1
"294","Algemeen Dagblad","3-3-2021","SF","?realitySF?_FvD",0,0,2
"295","Algemeen Dagblad","3-3-2021","SF","?realitySF?_GroenLinks",0,0,1
"296","Algemeen Dagblad","3-3-2021","SF","?realitySF?_JA21",0,0,1
"297","Algemeen Dagblad","3-3-2021","SF","?realitySF?_VVD",0,0,2
"298","Algemeen Dagblad","4-2-2021","IP","party_SocZek",-1,-1,1
"299","Algemeen Dagblad","4-2-2021","IP","party_coronabestrijding",-1,-1,1
"300","Algemeen Dagblad","4-2-2021","REA","?realityUD?_OenW",-1,-1,1
"301","Algemeen Dagblad","4-2-2021","REA","?realityUD?_campagne",0,0,1
"302","Algemeen Dagblad","4-2-2021","REA","?realityUD?_coronabestrijding",-1,-0.25,4
"303","Algemeen Dagblad","4-2-2021","REA","?realityUD?_coronaverspreiding",1,1,1
"304","Algemeen Dagblad","4-2-2021","REA","?realityUD?_geZorg",-1,-1,1
"305","Algemeen Dagblad","4-2-2021","SF","?realitySF?_CDA",-1,-1,1
"306","Algemeen Dagblad","4-2-2021","SF","?realitySF?_VVD",-3,-1,3
"307","Algemeen Dagblad","4-2-2021","SP","society_VVD",-1,-1,1
"308","Algemeen Dagblad","4-3-2021","IP","party_OenW",1,1,1
"309","Algemeen Dagblad","4-3-2021","IP","party_ondernemingsklimaat",3,1,3
"310","Algemeen Dagblad","4-3-2021","MP","media_FvD",-1,-1,1
"311","Algemeen Dagblad","4-3-2021","REA","?realityUD?_coronabestrijding",-1,-1,1
"312","Algemeen Dagblad","4-3-2021","SF","?realitySF?_CDA",0,0,1
"313","Algemeen Dagblad","4-3-2021","SF","?realitySF?_CU",0,0,1
"314","Algemeen Dagblad","4-3-2021","SF","?realitySF?_D66",0,0,2
"315","Algemeen Dagblad","4-3-2021","SF","?realitySF?_FvD",0,0,2
"316","Algemeen Dagblad","4-3-2021","SF","?realitySF?_JA21",0,0,1
"317","Algemeen Dagblad","4-3-2021","SF","?realitySF?_PVV",0,0,1
"318","Algemeen Dagblad","4-3-2021","SF","?realitySF?_VVD",0,0,1
"319","Algemeen Dagblad","5-2-2021","CP","politics_CDA",1,1,1
"320","Algemeen Dagblad","5-2-2021","CP","politics_SP",1,1,1
"321","Algemeen Dagblad","5-2-2021","CP","politics_VVD",0,0,1
"322","Algemeen Dagblad","5-2-2021","IP","party_OenW",2,1,2
"323","Algemeen Dagblad","5-2-2021","IP","party_SocZek",2,1,2
"324","Algemeen Dagblad","5-2-2021","IP","party_geZorg",1,1,1
"325","Algemeen Dagblad","5-2-2021","IP","party_infrastructuur",1,1,1
"326","Algemeen Dagblad","5-2-2021","MP","media_VVD",-1,-0.333333333333333,3
"327","Algemeen Dagblad","5-2-2021","REA","?realityUD?_coronabestrijding",0,0,2
"328","Algemeen Dagblad","5-2-2021","REA","?realityUD?_coronaverspreiding",2,0.666666666666667,3
"329","Algemeen Dagblad","5-2-2021","REA","?realityUD?_ontwikkelingCrim",3,1,3
"330","Algemeen Dagblad","5-2-2021","SF","?realitySF?_D66",1,1,1
"331","Algemeen Dagblad","5-2-2021","SF","?realitySF?_FvD",-1,-1,1
"332","Algemeen Dagblad","5-2-2021","SF","?realitySF?_GroenLinks",1,0.5,2
